#;Объект;Площадь, мкм?;Периметр, мкм;Длина, мкм;Радиус, мкм
1;Отрезок_1;-;-;29,8;-
2;Отрезок_45;-;-;27,5;-
3;Отрезок_39;-;-;30,9;-
4;Отрезок_9;-;-;23,8;-
5;Отрезок_31;-;-;28,5;-
6;Отрезок_6;-;-;22,7;-
7;Отрезок_30;-;-;21,2;-
8;Отрезок_40;-;-;24,4;-
9;Отрезок_42;-;-;19,7;-
10;Отрезок_21;-;-;18;-
11;Отрезок_7;-;-;27,7;-
12;Отрезок_28;-;-;25,1;-
13;Отрезок_2;-;-;10,3;-
14;Отрезок_29;-;-;31,7;-
15;Отрезок_8;-;-;30,4;-
16;Отрезок_44;-;-;24,8;-
17;Отрезок_19;-;-;20,1;-
18;Отрезок_36;-;-;16,9;-
19;Отрезок_25;-;-;31,4;-
20;Отрезок_10;-;-;13,7;-
21;Отрезок_32;-;-;30,1;-
22;Отрезок_12;-;-;22,7;-
23;Отрезок_23;-;-;30,4;-
24;Отрезок_34;-;-;26,9;-
25;Отрезок_27;-;-;20,9;-
26;Отрезок_43;-;-;30;-
27;Отрезок_5;-;-;32,2;-
28;Отрезок_38;-;-;10,3;-
29;Отрезок_20;-;-;29,8;-
30;Отрезок_16;-;-;24,3;-
31;Отрезок_3;-;-;26,2;-
32;Отрезок_18;-;-;23,5;-
33;Отрезок_22;-;-;30,1;-
34;Отрезок_11;-;-;25,9;-
35;Отрезок_46;-;-;22,5;-
36;Отрезок_17;-;-;33;-
37;Отрезок_26;-;-;21,2;-
38;Отрезок_37;-;-;39,6;-
39;Отрезок_35;-;-;31,4;-
40;Отрезок_33;-;-;14,3;-
41;Отрезок_24;-;-;21,1;-
42;Отрезок_15;-;-;27;-
43;Отрезок_14;-;-;22,4;-
44;Отрезок_4;-;-;25,4;-
45;Отрезок_13;-;-;30,1;-
46;Отрезок_41;-;-;30,9;-
47;Отрезок_47;-;-;21,4;-
48;Отрезок_48;-;-;25;-
49;Отрезок_49;-;-;24,1;-
50;Отрезок_50;-;-;21,9;-
51;Отрезок_51;-;-;25;-
52;Отрезок_52;-;-;22,7;-
