#;Объект;Площадь, мкм?;Периметр, мкм;Длина, мкм;Радиус, мкм
1;Отрезок_2;-;-;10,6;-
2;Отрезок_1;-;-;10,2;-
3;Отрезок_3;-;-;10,3;-
4;Отрезок_4;-;-;10,2;-
5;Отрезок_5;-;-;10,2;-
6;Отрезок_6;-;-;10,2;-
7;Отрезок_7;-;-;10,7;-
8;Отрезок_8;-;-;10,2;-
9;Отрезок_9;-;-;10,1;-
10;Отрезок_10;-;-;10,2;-
11;Отрезок_11;-;-;10,2;-
12;Отрезок_2;-;-;10;-
13;Отрезок_3;-;-;10,2;-
14;Отрезок_4;-;-;10,2;-
15;Отрезок_5;-;-;9,95;-
16;Отрезок_6;-;-;10,4;-
17;Отрезок_7;-;-;10,3;-
18;Отрезок_8;-;-;10,6;-
19;Отрезок_9;-;-;10,1;-
20;Отрезок_10;-;-;10,1;-
21;Отрезок_11;-;-;10,2;-
22;Отрезок_12;-;-;10,3;-
