#;Объект;Площадь, мкм?;Периметр, мкм;Длина, мкм;Радиус, мкм
1;Отрезок_1;-;-;27,8;-
2;Отрезок_2;-;-;19,9;-
3;Отрезок_3;-;-;18,3;-
4;Отрезок_4;-;-;27,1;-
5;Отрезок_5;-;-;32,7;-
6;Отрезок_6;-;-;25,5;-
7;Отрезок_7;-;-;12;-
8;Отрезок_8;-;-;25,5;-
9;Отрезок_9;-;-;13,7;-
10;Отрезок_10;-;-;39,3;-
11;Отрезок_11;-;-;29,6;-
12;Отрезок_12;-;-;19,5;-
13;Отрезок_13;-;-;18,8;-
14;Отрезок_14;-;-;42;-
15;Отрезок_15;-;-;17,9;-
16;Отрезок_16;-;-;20,5;-
17;Отрезок_17;-;-;18,2;-
18;Отрезок_18;-;-;21,8;-
19;Отрезок_19;-;-;38,6;-
20;Отрезок_20;-;-;27,3;-
21;Отрезок_21;-;-;17,3;-
22;Отрезок_22;-;-;30,2;-
23;Отрезок_23;-;-;21,4;-
24;Отрезок_24;-;-;38;-
25;Отрезок_25;-;-;27,7;-
26;Отрезок_26;-;-;17,7;-
27;Отрезок_27;-;-;29,8;-
28;Отрезок_28;-;-;23,9;-
29;Отрезок_29;-;-;27,9;-
30;Отрезок_30;-;-;30,5;-
31;Отрезок_31;-;-;26,8;-
32;Отрезок_32;-;-;25,2;-
33;Отрезок_33;-;-;23,6;-
34;Отрезок_34;-;-;27,3;-
35;Отрезок_35;-;-;15,5;-
36;Отрезок_36;-;-;34,1;-
37;Отрезок_37;-;-;22;-
38;Отрезок_38;-;-;20,2;-
39;Отрезок_39;-;-;29,3;-
40;Отрезок_40;-;-;24;-
41;Отрезок_41;-;-;26,3;-
42;Отрезок_42;-;-;24,1;-
43;Отрезок_43;-;-;32;-
44;Отрезок_44;-;-;18;-
45;Отрезок_45;-;-;22,1;-
46;Отрезок_46;-;-;29,6;-
47;Отрезок_47;-;-;26,8;-
48;Отрезок_48;-;-;19,6;-
49;Отрезок_49;-;-;38,6;-
50;Отрезок_50;-;-;16,8;-
